MAKESPAN,OCC,WL
41.4385,88.303509,927.83
44.9338,85.56633000000001,939.0534
42.2133,89.48172599999998,1175.4021
39.7766,83.080908,829.6777
41.7612,87.44949000000001,963.9083
47.0855,88.65662400000001,912.8679
36.3439,80.37687599999998,880.092
39.4928,85.651254,958.9136
44.6441,88.910667,881.5926
42.4838,85.22157599999998,1093.5441
46.2529,87.366042,1078.4637
42.4338,84.55158,1087.4579
50.5832,98.05783499999995,1134.1954
39.5685,83.35013399999997,953.6901
42.9184,85.090914,891.405
43.9757,85.84792199999998,1097.8432
39.5458,84.043233,897.3238
39.5605,82.32468299999996,844.8138
48.4785,92.150622,1284.4605
41.1352,86.313744,1030.4995
45.2584,88.905528,1310.4357
41.329,87.21222299999995,1042.0387
42.3286,87.32276099999996,1031.2914
43.7258,87.24333599999996,1087.5912
48.6238,93.80832299999997,1296.4885
57.057,98.760033,1489.6256
45.4126,91.03455899999997,986.3189
42.2328,85.78348199999996,967.1296
38.7374,86.45952599999998,902.3587
44.1454,90.61319699999997,1168.7509
46.7269,91.022841,1163.3731
46.9961,93.80098799999999,1288.178
39.8575,82.97414099999999,798.4735
41.1793,85.338585,712.9014
42.5005,87.91244099999999,861.7956
47.0531,91.944009,1230.4502
42.625,82.607373,982.8868
43.4051,90.042993,1200.3157
44.1374,92.75282099999998,1351.5509
49.1367,87.48043200000001,1094.2434
41.5804,87.35748299999997,1000.2067
43.0576,89.71558199999998,1170.4909
38.5528,80.72001899999998,791.8184
51.6441,92.13234299999999,1256.1131
50.5,95.208867,1437.113
44.0906,90.84227399999996,947.5019
40.237,86.92820999999999,900.1206
39.3099,82.37843099999998,1084.2421
44.937,88.145091,1004.2654
38.367,83.71058399999997,852.2302
42.419,85.24749599999997,921.2191
43.0304,87.40414799999999,929.0281
39.4766,86.78015099999996,861.0075
45.3746,91.49640299999999,1162.7735
43.7884,85.13778599999999,937.7196
43.1161,87.544782,1082.4094
39.7571,86.91628499999999,863.7907
50.0571,97.06197599999999,1279.1671
42.2728,83.61879300000001,862.5953
40.9794,85.08034799999999,959.6832
46.0164,88.49989799999997,1153.5922
42.5213,85.25362499999994,830.0314
40.2584,82.21350599999998,1021.1397
44.6691,89.06163299999999,931.6167
39.1287,82.65048300000001,756.3646
44.6541,90.97463699999999,1144.7569
53.1896,95.122476,1378.1404
43.6382,90.64474199999998,885.0428
40.4337,86.179167,1234.7606
42.0716,84.879027,1000.918
42.3859,83.384919,956.2918
41.9308,85.26341699999995,1053.4306
42.1999,84.42911700000002,902.2627
39.9449,86.12399699999996,1092.6492
42.0948,85.89110400000001,1052.3158
42.7178,89.68208399999997,1140.4822
43.0431,83.79422999999997,1097.7533
43.1894,87.711921,1012.5803
40.4738,86.54962499999999,951.0097
37.29,84.660822,626.172
39.4046,86.53828499999997,1125.0671
40.1591,83.35484999999998,975.2666
40.4808,84.14090999999999,939.2912
45.9953,91.574136,1191.0288
42.3336,82.12770899999998,1037.2861
44.889,88.63940699999998,1093.3742
40.695,88.23189599999998,972.7908
42.7417,88.291359,1004.7834
49.1144,93.57667199999997,1217.8223
54.2584,99.07702200000001,1362.8654
42.4347,89.03752199999998,1033.9878
42.0209,87.73376400000001,1203.1912
41.457,85.43113199999999,1079.8818
37.9729,77.82772500000002,877.815
44.5153,89.50309199999998,986.7059
42.3177,87.956091,1288.7565
48.1347,95.109471,1242.3835
47.423,92.64360599999998,1150.8864
43.2111,89.07337800000002,1070.4177
45.1876,88.75675799999999,1136.04
45.2844,89.82065699999998,1110.8204
43.8222,88.560567,1007.4836
45.2832,90.59361299999998,909.4056
37.0102,79.91252999999998,873.5694
37.4336,81.88410600000002,1055.3152
45.148,91.06485300000003,1061.1367
47.1467,93.16224899999997,1128.8487
40.9464,83.09628000000001,1100.9512
40.2903,85.422114,898.8147
52.7083,93.03463799999999,1246.9759
47.2606,89.74700999999999,1010.9378
45.4029,95.11171199999998,1124.8177
42.581,84.273957,1140.3611
41.1017,86.07113100000001,902.7569
43.708,91.05991199999998,897.8696
43.7915,89.08964999999999,1062.3187
42.9166,86.965902,1079.8831
39.9279,84.67580699999996,1091.2078
47.5749,92.21104799999995,1262.1834
41.6875,84.90334499999999,945.9509
44.7794,89.296497,1113.144
42.323,85.263723,1029.5907
46.6761,91.07828999999998,1415.3506
40.9541,85.46776199999998,979.283
44.6574,89.84895300000002,945.932
38.387,80.19576899999996,877.8947
