2023-08-07 18:27:11:	logging to outputs/2023-08-07/18-27-08/sac_discrete/Training/Logs\2023-08-07-18-27-0-11552
2023-08-07 18:27:11:	saved parameters.txt to outputs/2023-08-07/18-27-08/sac_discrete/Training/Logs\2023-08-07-18-27-0-11552\parameters.txt
2023-08-07 18:27:11:	Initializing Environment
2023-08-07 18:27:11:	Initializing Buffer
2023-08-07 18:27:11:	Initializing Agent
2023-08-07 18:27:11:	Initializing Trainer
2023-08-07 18:27:11:	Started training
2023-08-07 23:09:10:	Timestep:114000	Evaluation return -9.377547
2023-08-07 23:12:39:	Timestep:115000	Evaluation return -9.596366
2023-08-07 23:17:16:	Timestep:116000	Evaluation return -9.223282
2023-08-07 23:20:58:	Timestep:117000	Evaluation return -9.237133
2023-08-07 23:24:41:	Timestep:118000	Evaluation return -9.349366
2023-08-07 23:28:18:	Timestep:119000	Evaluation return -9.491910
2023-08-07 23:32:16:	Timestep:120000	Evaluation return -9.330795
2023-08-07 23:36:40:	Timestep:121000	Evaluation return -9.269025
2023-08-07 23:40:40:	Timestep:122000	Evaluation return -9.113723
2023-08-07 23:44:10:	Timestep:123000	Evaluation return -9.284266
2023-08-07 23:47:39:	Timestep:124000	Evaluation return -9.413473
2023-08-07 23:51:24:	Timestep:125000	Evaluation return -9.183189
2023-08-07 23:55:00:	Timestep:126000	Evaluation return -9.225886
2023-08-07 23:59:39:	Timestep:127000	Evaluation return -9.341806
2023-08-08 00:04:03:	Timestep:128000	Evaluation return -9.346437
2023-08-08 00:08:52:	Timestep:129000	Evaluation return -9.324237
2023-08-08 00:12:46:	Timestep:130000	Evaluation return -9.518376
2023-08-08 00:17:14:	Timestep:131000	Evaluation return -9.398766
2023-08-08 00:21:13:	Timestep:132000	Evaluation return -9.331595
2023-08-08 00:25:58:	Timestep:133000	Evaluation return -9.383349
