MAKESPAN,OCC,WL
41.3107,82.64411999999999,517.972
50.0253,92.93840099999998,863.0326
40.3577,83.30103899999999,425.2769
44.3031,87.879627,706.9029
40.0695,82.737666,464.2584
40.983,81.24815699999999,624.3649
42.3877,83.477745,415.8068
44.3771,86.11060499999999,951.1055
39.6484,82.354059,448.7235
42.0388,81.82707299999998,498.4467
48.3857,87.402636,977.1493
40.134,79.899561,453.3909
41.6694,85.71665699999997,682.361
43.1864,84.90532499999998,687.8233
38.7318,79.29133199999998,380.2834
41.3483,83.14451999999997,685.3125
40.2546,82.76234399999996,488.3824
50.1655,94.49252999999999,898.2856
38.0954,83.623689,520.1889
42.201,85.25889899999997,945.2596
42.8022,86.77667700000003,892.0239
43.5734,87.54138899999998,796.0043
51.3525,93.46981500000001,970.3418
43.483,82.21535999999999,701.3292
37.1927,80.42281200000002,485.1418
47.034,91.90608299999998,756.6899
48.0992,88.248492,839.4052
39.1742,82.24731,524.0127
45.1316,87.303195,688.4395
40.4727,85.075083,569.6151
44.7798,85.01762699999998,732.6604
49.0789,89.40319199999998,816.519
44.1118,88.395633,826.9547
41.9355,87.16094099999998,683.0202
45.7502,90.93315599999995,754.709
42.0051,83.47279499999996,602.2689
45.8585,88.29760499999999,746.2247
38.0683,80.56673999999998,588.8747
44.246,86.04567,821.4086
46.5893,89.09140499999998,906.028
42.56,88.50277799999999,732.0612
40.928,83.88971999999998,487.3716
48.5148,90.94658399999996,723.1237
41.8931,86.32298699999997,654.5184
42.4239,85.85082,537.2794
41.2768,84.18906000000001,482.4526
43.9582,86.78384099999997,652.5894
44.4364,91.14774299999999,670.3327
39.4388,84.18969000000001,672.1125
43.2287,85.307409,822.0014
51.873,94.02428700000002,1162.1851
41.3012,84.28869899999998,638.2415
42.9973,87.79288500000001,557.0751
42.8414,85.68840599999999,540.6133
44.8341,85.01643899999996,554.267
41.3105,85.85445599999997,595.0416
56.1739,94.85184599999998,1165.908
44.29,83.73092399999999,658.6728
37.5983,80.52387299999998,380.7357
38.5925,82.158264,528.9267
38.8238,82.24169400000002,566.8499
38.5531,81.67074299999999,454.1338
51.1071,97.177536,1091.4448
44.2699,89.196453,884.9266
39.4802,84.65762699999999,730.9089
44.3375,84.18896099999996,791.3904
43.642,86.11524,578.6383
44.8109,85.09170599999999,702.4431
42.8771,84.42048600000001,684.6813
41.5135,84.80166299999999,666.2478
42.3809,85.39456499999997,657.9753
40.6952,80.64869400000002,431.6505
51.1218,97.058331,982.1993
39.7053,85.479705,607.1744
37.8277,79.586208,409.8963
46.8715,88.09514999999999,998.6246
41.3566,84.78389699999998,808.2549
41.6697,84.05667,477.7221
46.1281,86.97054600000001,754.1171
44.5997,88.055199,910.5614
43.4924,86.6286,655.7408
40.3008,81.38642399999999,626.9952
48.4448,90.22489199999995,903.3512
42.6756,86.56699499999999,458.7544
39.9495,81.79487999999998,529.8774
44.6084,89.47745100000003,759.7562
40.653,84.33630899999997,560.6844
46.1297,89.57929499999997,693.304
48.3452,91.55769299999997,784.5655
38.5702,84.61322999999999,414.3156
41.6976,85.30204499999999,861.7843
35.9152,78.00192900000002,420.628
43.8781,85.020714,689.6828
53.2643,91.92483899999999,866.9533
50.2552,92.775465,991.6428
41.3063,80.97034499999998,431.2949
41.075,83.126565,734.8803
48.6947,89.70095699999996,601.7209
37.4171,81.48669299999995,433.8426
43.6688,86.71097699999999,606.9431
38.3971,77.253462,336.1595
38.3501,80.00566199999997,487.8264
42.7767,86.91119099999997,598.6318
47.5172,89.87767199999999,849.5603
40.1355,86.97302099999999,619.6654
37.1642,82.69448400000002,575.2994
46.6067,89.137926,689.7821
45.808,90.63120599999999,696.9872
39.1376,79.408368,454.577
37.8376,78.784956,424.1874
39.784,84.60712799999997,488.9981
41.2592,83.42874899999998,730.7435
42.8128,85.80959999999999,834.941
41.2863,84.01033799999998,557.6316
45.7648,87.919245,712.8329
45.9629,87.97076999999999,851.3289
40.0287,84.09908699999997,563.4794
48.005,87.37898399999999,916.8405
44.6436,88.32766499999997,848.4075
45.712,88.926669,734.3879
52.0036,92.27364299999999,938.4274
47.0701,87.655941,969.0249
39.5163,83.16310500000003,647.5334
44.4841,90.14812199999996,919.0599
43.5099,87.00366600000002,782.9575
44.9617,89.389044,920.7724
38.6176,81.142515,451.2741
45.0894,85.05051299999997,596.9086
47.2098,91.59425999999999,730.857
42.783,82.726164,667.3696
